Dataset,Model,Lambda,Fold,Accuracy,Latency,Depth,FitTime,SOPs
Heart,NSF,0.1,1,0.7592592592592593,28.85977406148557,6.4,0.1565022468566894,
Heart,NST,0.25,1,0.7777777777777778,28.654386520385746,6.0,0.0368859767913818,
Heart,NSF,0.25,1,0.8333333333333334,23.74355137083266,6.4,0.1524398326873779,
Heart,NST,0.5,1,0.7037037037037037,25.10160255432129,6.0,0.0445411205291748,
Heart,NSF,0.5,1,0.7407407407407407,22.7514622081945,7.2,0.1709668636322021,
Heart,CART,0.0,2,0.8518518518518519,0.0,9.0,0.0,
Heart,RF,0.0,2,0.9444444444444444,0.0,10.0,0.0,
Heart,NST,0.0,2,0.8333333333333334,37.83309975376836,7.0,0.0429966449737548,
Heart,NSF,0.0,2,0.8888888888888888,35.040516086272255,6.8,0.1808094978332519,
Heart,NST,0.1,2,0.8518518518518519,29.58598686147619,6.0,0.0400950908660888,
Heart,NSF,0.1,2,0.8333333333333334,29.35031442112393,7.6,0.1741142272949218,
Heart,NST,0.25,2,0.8333333333333334,29.153329019193297,7.0,0.0420503616333007,
Heart,NSF,0.25,2,0.8148148148148148,25.88933521818232,7.4,0.1690948009490966,
Heart,NST,0.5,2,0.8518518518518519,25.65397453308105,7.0,0.048959732055664,
Heart,NSF,0.5,2,0.7777777777777778,23.80700146710432,7.0,0.1786901950836181,
Heart,CART,0.0,3,0.7407407407407407,0.0,9.0,0.0,
Heart,RF,0.0,3,0.7962962962962963,0.0,10.0,0.0,
Heart,NST,0.0,3,0.7962962962962963,40.32337524272777,6.0,0.0364136695861816,
Heart,NSF,0.0,3,0.7037037037037037,36.92379571361306,5.8,0.1490316390991211,
Heart,NST,0.1,3,0.7222222222222222,35.55829664512917,6.0,0.0400516986846923,
Heart,NSF,0.1,3,0.7407407407407407,31.01562643463229,6.2,0.1554381847381591,
Heart,NST,0.25,3,0.6481481481481481,32.14246739281548,6.0,0.0346026420593261,
Heart,NSF,0.25,3,0.6851851851851852,28.35320491290388,6.6,0.1526377201080322,
Heart,NST,0.5,3,0.7037037037037037,29.701847076416016,6.0,0.0372133255004882,
